"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Bike Aerobic Speed","Bike","","1.25","","2023-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","0.5","","2023-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alpine Skiing","Other","","","","2023-01-31","","35114.5703125","","","","","1.2778183221817","7.63299989700317","","","","134","174","","","0.66228468420206","62.47","52","7","10","1","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alpine Skiing","Other","","","","2023-02-01","","41988.921875","","","","","1.98671436309814","5.87099981307983","","","","132","167","","","0.636840910122769","90.8","94","10","6","0","0","","","","","","","","","","","","","","","","",""
"","Run","","0.5","","2023-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-02-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alpine Skiing","Other","","","","2023-02-02","","14790.580078125","","","","","1.09169685840607","3.76300001144409","","","","142","183","","","0.753701533321176","66.07","11","7","28","3","1","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-02-03","","3262.98999023438","228","317","290.239","","0.352512776851654","2.57100009918213","","172","","149","171","","","0.588694197375745","11.91","7","8","6","0","0","","","","","","5","0","0","0","0","","","","","","",""
"Alpine Skiing","Other","","","","2023-02-03","","26593.6796875","","","","","1.04613590240479","7.06099987030029","","","","125","167","","","0.619720447620045","44.56","48","1","2","0","0","","","","","","","","","","","","","","","","",""
"","Run","","0.5","","2023-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2","","2023-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-02-06","","30625.19921875","165","335","597.257","","1.00333333015442","8.47799968719482","","78","","121","133","","","0.650220677592524","42.13","9","51","0","0","0","","","","","","57","2","1","0","0","","","","","","",""
"Zwift - 5K Loop in Watopia","Run","","0.5","","2023-02-06","","4152.8701171875","0","0","","","0.418611109256744","2.75500011444092","","0","","134","145","","","0.702502427110443","22.85","25","0","0","0","0","","","","","","","","","","","","","","","","",""
